frame,label,mean_Cy3,mean_GFP,mean_ratio_Cy3/GFP,mean_ratio_GFP/Cy3,std_Cy3,std_GFP,std_ratio_Cy3/GFP,std_ratio_GFP/Cy3,Y,X,log_mean_ratio_GFP/Cy3
100,9735,271.57312253,804.0,0.355543074156,2.99554953394,29.124979243600002,181.41798743799998,0.0912877410276,0.748370955548,5635.0,3559.0,1.097127698522632
100,9736,376.85967741900004,580.8435483869999,0.650620897222,1.57378337681,53.33292864,36.6416787234,0.096609044372,0.252402326553,5634.0,2282.5,0.45348251460902966
100,9737,1026.92141454,590.041257367,1.74081621287,0.6934959096,395.174226967,38.0135983733,0.662443144609,0.344546853957,5635.0,4693.0,-0.36600993744219396
100,9739,359.895052474,579.184407796,0.622834817832,1.6555205449200001,61.4105638456,34.467078307,0.108572725102,0.291744173344,5638.5,1734.0,0.5041154880278271
100,9740,274.902298851,852.520434227,0.337576027634,3.10770881499,16.8403981936,185.095044527,0.0737050393253,0.680131698423,5639.0,6748.5,1.1338857392456683
100,9741,684.4231651380001,669.642201835,1.0022209415899999,1.11329536049,250.29290376400002,61.0113762795,0.304883353719,0.39361731034999997,5639.5,7776.0,0.10732441039451929
100,9742,270.278965129,1035.79190101,0.285575023714,3.8497432902800006,22.941624375,314.453407433,0.08759179265860001,1.18129595331,5638.5,3239.5,1.3480064682272757
100,9743,761.4836759369999,714.551390568,1.01831303328,1.17157563907,388.55055513199994,105.563797371,0.405166709829,0.49868306227,5639.5,6702.0,0.15834954288227243
100,9744,1559.05088063,611.129158513,2.54970492158,0.42811286069300003,372.617127666,31.5456205395,0.597142596887,0.166886249984,5642.0,1155.0,-0.8483684249533395
100,9745,401.972855592,892.6862106410001,0.45322032297799997,2.23370642107,100.02866213200001,225.850258145,0.0503473969317,0.248247768747,5646.0,1061.0,0.8036622779872576
100,9746,262.73100983,1153.75335121,0.251157575754,4.4183701865,22.061536206,361.565882423,0.0803058575912,1.4304664553,5646.5,7420.0,1.4857708920037669
100,9747,266.35171386,1456.72131148,0.19246092430999998,5.4974810893,21.9837697729,297.739738931,0.0513481510315,1.1830844491799999,5643.5,7491.0,1.7042900035681934
100,9748,954.686046512,594.279069767,1.6066630231099999,0.712268098647,322.923891061,34.727003264400004,0.53827019593,0.286162303591,5643.0,8370.5,-0.33930089540116276
100,9749,281.207860262,1281.33449782,0.254310736893,4.57954968726,22.9817571331,483.809462015,0.09903405427239999,1.7536831698599997,5646.5,1401.0,1.5216006717332604
