frame,label,mean_Cy3,mean_GFP,mean_ratio_Cy3/GFP,mean_ratio_GFP/Cy3,std_Cy3,std_GFP,std_ratio_Cy3/GFP,std_ratio_GFP/Cy3,Y,X,log_mean_ratio_GFP/Cy3,DistanceLastNeighbor_k-00-05,neighbors_k-00-05,DistanceLastNeighbor_k-05-10,neighbors_k-05-10,DistanceLastNeighbor_k-10-15,neighbors_k-10-15,DistanceLastNeighbor_k-15-20,neighbors_k-15-20,DistanceLastNeighbor_k-20-25,neighbors_k-20-25,local_moran_log_mean_ratio_GFP/Cy3_k-00-05_p_val,local_moran_log_mean_ratio_GFP/Cy3_k-00-05_z_val,local_moran_log_mean_ratio_GFP/Cy3_k-00-05_stats,local_moran_log_mean_ratio_GFP/Cy3_k-00-05_low_quantile,local_moran_log_mean_ratio_GFP/Cy3_k-00-05_high_quantile
100,4105,771.0694444439999,568.916666667,1.35592921658,0.813713547002,217.803815673,35.1382191416,0.377813529282,0.292123769511,461.5,53.0,-0.20614688277364898,86.20904824900923,"[4071, 4128, 4166, 4079, 3972]",112.29425630903835,"[4140, 4079, 3972, 3971, 4290, 4157]",129.634100452003,"[4157, 3943, 4060, 4297, 3921, 4258]",149.164338901763,"[4258, 4344, 3980, 4270, 4221, 4043]",166.30469025256022,"[4043, 3984, 4197, 4364, 4380, 4349]",0.044,1.7353328311724288,0.635186818012773,-0.6933515213956853,0.7162165140159652
100,4113,1544.14825581,585.11627907,2.64026870067,0.396409260987,263.977026391,28.2784816723,0.450583308968,0.108821762422,464.5,1090.5,-0.9253081140671197,86.50144507463445,"[4057, 4013, 4169, 4248, 4080]",136.65010062199002,"[4080, 4226, 3914, 4328, 3954, 4218]",150.72159765607583,"[4218, 4350, 3996, 4232, 3965, 3892]",176.5063738225903,"[3892, 4287, 4011, 4182, 4300, 3829]",194.53855658969002,"[3829, 4031, 4366, 4444, 4099, 4429]",0.051,-1.6161045571908577,-1.266856025797088,-1.5425471487669427,1.4802368024138701
100,4128,876.959183673,570.2099125359999,1.53483211653,0.7663528454240001,317.781868769,37.4153097305,0.543172703605,0.348464303569,476.0,86.0,-0.26611258158789225,77.0211010048545,"[4105, 4079, 4071, 4166, 4157]",99.24842568020917,"[4157, 4066, 4290, 4221, 4297, 4270]",122.45101061240776,"[4270, 3972, 4140, 3980, 3971, 4043]",149.2330392372949,"[4043, 4344, 3921, 4380, 4258, 3943]",168.3931411904891,"[3943, 4087, 4364, 4381, 4060, 4324]",0.001,3.157954833888246,1.210414948479353,-0.787039736714759,0.7199664761099821
100,4135,276.42189054700003,1462.43681592,0.22197103672,5.31356549859,21.7264567702,552.006232604,0.0935812727137,2.03520184023,474.5,637.0,1.6702630785806474,97.082439194738,"[4136, 4035, 4014, 4067, 4247]",129.1375235940352,"[4247, 4298, 4153, 4191, 4277, 3919]",163.66505430298798,"[3919, 4016, 4084, 4361, 3872, 4034]",187.5853139240916,"[4034, 4188, 4406, 3901, 3953, 3855]",213.8621051051354,"[3855, 4372, 3822, 4062, 4283, 3960]",0.408,-0.2496898854113279,-0.17262920070725513,-1.3768964253217586,1.3635490557089116
100,4136,748.570967742,654.184946237,1.13142469175,0.965552957777,228.483824081,56.0155910444,0.297738249306,0.323869063803,478.5,686.5,-0.035054328512135205,91.2318475095183,"[4135, 4014, 4191, 4035, 4084]",136.40472865703742,"[4084, 4016, 4277, 4298, 3919, 4247]",161.27073510094758,"[4247, 4067, 4062, 4153, 4406, 3901]",181.9457336680363,"[3901, 3872, 3960, 4357, 3855, 4217]",207.82324220356102,"[4217, 4361, 3973, 3848, 4416, 3822]",0.039,-1.781719783630237,-0.4719844094385917,-0.5244386679478054,0.4914153887105236
100,4143,499.51649601800005,772.8020477819998,0.638198490845,1.6120294777700002,131.681129276,116.205623511,0.10211559986,0.287457822164,480.5,396.5,0.4774939303750578,89.7008918573277,"[4195, 4188, 4095, 4161, 3998]",114.2420675583211,"[3998, 3988, 4034, 4283, 4020, 4335]",150.06831777560512,"[4335, 4340, 4153, 3938, 3953, 4205]",163.331717679084,"[4205, 3891, 3896, 4409, 4067, 4087]",181.472449699672,"[4087, 4372, 4345, 3948, 4247, 4437]",0.284,0.5808323258912854,0.020487850771539095,-0.0759151029845884,0.07178321065215777
100,4153,375.238754325,719.5167243369998,0.520010266999,1.94796393664,74.3354997682,104.35917763,0.0588632599361,0.22295645774,487.5,529.5,0.6667846920304947,108.27049459571153,"[4067, 4188, 4247, 4034, 4283]",131.4087135619248,"[4283, 4135, 4035, 4361, 4372, 3953]",166.28439493831044,"[3953, 4143, 3998, 4335, 4136, 4409]",183.2737024234519,"[4409, 4195, 4298, 3988, 3896, 4014]",207.1352215341466,"[4014, 3919, 4496, 4498, 4340, 3833]",0.391,-0.2811568745040295,-0.045320988443361854,-0.2851023037721817,0.2869523715159059
100,4157,5375.46,708.02,7.554607518169999,0.138293157381,1186.81875971,40.5642650618,1.47442244816,0.031248320296099995,488.5,162.0,-1.9783795181731778,77.0211010048545,"[4221, 4079, 4270, 4043, 4128]",110.2655884671188,"[4128, 4087, 4205, 4297, 3980, 4324]",133.6272801489277,"[4324, 4105, 4290, 4381, 3969, 4071]",150.45680443236856,"[4071, 4166, 4161, 4380, 4345, 3921]",164.85296478983932,"[3921, 3972, 4095, 4344, 4020, 3948]",0.059,1.608328771377129,2.137145103090585,-2.7345258312592824,2.5366059930960825
100,4161,644.230545455,577.981090909,1.11269194092,1.09442723474,273.419770406,33.877399367399995,0.464892118421,0.493395334255,495.5,308.5,0.0902311531210995,84.47040901996391,"[4095, 4195, 4205, 4020, 4087]",131.20689768453482,"[4087, 4143, 4345, 4340, 4043, 4324]",146.66714015075087,"[4324, 3988, 3948, 4221, 3938, 4157]",163.91613709455208,"[4157, 3969, 4335, 3998, 4437, 4283]",185.1033495104829,"[4283, 4448, 4188, 4270, 4079, 4474]",0.338,-0.4010502657752228,-0.07039605026335867,-0.35046845006362726,0.3477263495615545
100,4166,994.774509804,584.337535014,1.67978111563,0.861268483282,598.955206932,38.0170545185,0.972061287895,0.514884474142,495.5,21.5,-0.14934899588948727,99.68575625434157,"[4105, 4071, 4128, 4290, 4344]",111.23061628886177,"[4128, 4258, 4290, 4344, 4060, 4364]",125.00399993600205,"[4364, 4197, 4297, 4349, 3971, 4079]",139.16267459344118,"[4079, 4323, 3972, 4380, 3943, 4270]",152.513114190223,"[4270, 4157, 3984, 4246, 4221, 4051]",0.05,1.640730354948729,0.5074454756413325,-0.648419471163781,0.5843167288398374
100,4169,765.431841831,746.940686785,0.979708909133,1.15727232775,351.140087229,128.358797413,0.321027359557,0.431291583195,501.5,1156.5,0.14606579454307678,92.69978425001862,"[4248, 4232, 4113, 4328, 4300]",135.35601205709335,"[4300, 4013, 4366, 3996, 4226, 4057]",160.40729409849166,"[4057, 4350, 3954, 4429, 4444, 4080]",189.15602025841,"[4080, 3914, 4337, 4218, 4490, 4287]",220.30036314087184,"[4287, 4457, 4472, 4515, 3892, 3965]",0.168,-1.0197193730345249,-0.14989016586195753,-0.2784800458033786,0.2738265424385419
