index,X,Y,cell_type
625,2948,607,1
626,2822,931,1
627,3006,972,1
628,3295,926,1
629,2876,1149,1
630,2927,1139,1
631,2938,1084,1
632,3023,1064,1
633,3079,1028,1
634,3064,1106,1
635,3014,1159,1
636,2976,1222,1
637,3111,1207,1
638,3112,1226,1
639,3212,1232,1
640,3262,1025,1
641,2899,1266,1
642,2930,1397,1
643,3184,1357,1
644,3185,1517,1
645,3155,1518,1
646,2889,1480,1
647,3284,1599,1
648,3050,1987,1
649,2966,1918,1
650,2809,2270,1
651,2983,2198,1
652,2821,2464,1
653,2828,2642,1
654,2907,2693,1
655,2992,2787,1
656,3020,2805,1
657,3274,2664,1
658,2784,2861,1
659,3122,2977,1
660,3249,3027,1
661,3017,3155,1
662,2905,3253,1
663,2804,3214,1
664,2966,3303,1
665,2954,3387,1
666,2826,3369,1
667,2915,3489,1
668,3006,3381,1
669,3037,3499,1
670,3068,3512,1
671,3147,3556,1
672,3221,3524,1
673,3249,3303,1
674,3235,3388,1
675,3285,3404,1
676,3301,3511,1
677,2777,3635,1
678,2839,3587,1
679,3192,3589,1
680,3242,3623,1
681,3367,273,1
682,3307,300,1
683,3381,352,1
684,3390,283,1
685,3443,280,1
686,3530,363,1
687,3437,643,1
688,3405,745,1
689,3463,763,1
690,3357,806,1
691,3439,1005,1
692,3549,970,1
693,3681,1035,1
694,3539,1300,1
695,3527,1351,1
696,3556,1367,1
697,3663,1347,1
698,3742,1358,1
699,3565,1560,1
700,3454,1578,1
701,3429,1546,1
702,3469,1485,1
703,3496,1415,1
704,3409,1389,1
705,3565,1438,1
706,3371,1480,1
707,3399,1499,1
708,3386,1539,1
709,3321,1563,1
710,3667,1604,1
711,3584,1691,1
712,3353,1684,1
713,3440,1771,1
714,3639,1806,1
715,3483,1884,1
716,3499,2007,1
717,3422,2191,1
718,3752,2632,1
719,3737,2788,1
720,3305,3083,1
721,3668,3215,1
722,3656,3259,1
723,3597,3360,1
724,3625,3537,1
725,3468,3595,1
726,3343,3701,1
727,3770,3245,1
728,2258,80,1
729,2212,86,1
730,2379,909,1
731,2093,482,1
732,1553,1351,1
733,1771,2865,1
734,1791,2846,1
735,1806,2886,1
736,1825,2864,1
737,695,448,1
738,755,484,1
739,490,269,1
740,500,289,1
741,484,317,1
742,461,476,1
743,184,320,1
744,391,249,1
745,377,263,1
746,90,1061,1
747,113,1146,1
748,418,1635,1
749,322,1842,1
750,312,1881,1
751,512,1707,1
752,504,1745,1
753,446,1968,1
754,413,2011,1
755,554,2005,1
756,415,2078,1
757,364,1991,1
758,381,1967,1
759,388,1924,1
760,427,1930,1
761,358,1898,1
762,265,2005,1
763,3585,67,2
764,3543,85,2
765,3526,130,2
766,3586,108,2
767,3552,181,2
768,3615,191,2
769,3658,169,2
770,3520,327,2
771,3576,298,2
772,3425,248,2
773,3459,249,2
774,3377,240,2
775,3334,237,2
776,3411,332,2
777,3476,351,2
778,3443,377,2
779,3431,405,2
780,3434,430,2
781,3407,452,2
782,3394,438,2
783,3360,446,2
784,3342,399,2
785,3299,377,2
786,3271,403,2
787,3155,448,2
788,3254,455,2
789,3325,472,2
790,3316,519,2
791,3347,547,2
792,3392,525,2
793,3394,495,2
794,3424,522,2
795,3444,515,2
796,3425,550,2
797,3461,550,2
798,3599,556,2
799,3651,534,2
800,3693,528,2
801,3722,493,2
802,3156,243,2
803,3167,27,2
804,3197,48,2
805,3249,50,2
806,3332,643,2
807,3323,671,2
808,3252,679,2
809,3209,709,2
810,3165,736,2
811,3256,750,2
812,3305,745,2
813,3740,1155,2
814,3562,1151,2
815,3588,1184,2
816,3551,1185,2
817,3527,1202,2
818,3496,1221,2
819,3465,1217,2
820,3482,1261,2
821,3483,1160,2
822,3454,1159,2
823,3268,1187,2
824,3246,1145,2
825,3186,1132,2
826,3149,1306,2
827,3724,1627,2
828,3752,1692,2
829,3693,1705,2
830,3341,1734,2
831,3249,1783,2
832,3172,1774,2
833,3272,1825,2
834,3626,1855,2
835,3652,1903,2
836,3639,1942,2
837,3564,1967,2
838,3318,1984,2
839,3304,2035,2
840,3226,2049,2
841,3208,1989,2
842,3688,2044,2
843,3701,1978,2
844,3729,2022,2
845,3653,2177,2
846,3345,2350,2
847,3350,2384,2
848,3373,2380,2
849,3370,2415,2
850,3388,2441,2
851,3414,2402,2
852,3417,2445,2
853,3372,2485,2
854,3552,2647,2
855,3595,2627,2
856,3588,2663,2
857,3638,2668,2
858,3347,2881,2
859,3254,2848,2
860,3246,2880,2
861,3194,2870,2
862,3610,3130,2
863,3646,3143,2
864,3624,3180,2
865,3588,3165,2
866,3409,3118,2
