ObjectNumber,Area,Compactness,Eccentricity,EulerNumber,Intensity_MEAN,Intensity_MEDIAN,Location_X,Location_Y,FirstClosestDistance,NumberOfNeighbors,PercentTouching,SecondClosestDistance,C19H24N2O2,C45H86O13P,C48H81NO10P,C10H14N5O7P
1950,1167,1.3749202244346532,0.8963870697803219,1.0,0.009899731869103057,0.009460593573749064,915.7523564695803,1266.1696658097685,76.15136098327244,0.0,0.0,108.48246755032585,5153.391686675745,0.0,0.0,0.0
1954,2662,3.3835988748963817,0.9751327694318698,1.0,0.013003036943785594,0.012054627761244774,1666.071374906085,1299.4308790383175,75.26147814045326,1.0,7.021791767554479,86.63042649176542,7969.195490373884,2174.7331002371648,5504.506169782367,0.0
1966,2834,4.4071874375193145,0.9661841731165326,1.0,0.01341300341760741,0.013199053704738615,100.11503175723351,1329.9735356386732,48.116739856786864,4.0,42.857142857142854,75.52046855980012,2749.6225235384113,2594.4618843266667,6967.718930207947,277.98602712668554
1967,4419,1.2993725269506715,0.7520084593633074,1.0,0.010683328569151206,0.009979400783777235,1072.3921701742474,1298.6085087123784,71.6126826792152,1.0,6.467661691542289,76.90492552141245,8212.909234320367,2000.058474240604,7320.443448153409,309.67510730236563
1969,3731,2.2303644899775428,0.9603589127158766,1.0,0.015689975877859842,0.014145113527774813,1480.8611632270172,1304.9809702492626,60.511450979033576,1.0,20.631067961165048,86.52005788500011,2746.8753795017387,1566.0887037023804,5002.307338562609,273.967187583912
1971,2502,2.489779512458251,0.7151931463314632,1.0,0.016110099754560528,0.013122758828103542,215.7238209432453,1308.3980815347718,45.03726343017662,2.0,28.04878048780488,59.46380607356527,4968.4437943146,3493.780644777442,13956.30172498687,522.1460945706408
1978,3939,1.8411452724556088,0.8372306426593296,1.0,0.012784767157664629,0.011932555586099623,424.5288144199035,1283.0756537192187,45.167458624126574,2.0,25.0,47.21770066635028,4012.12783153637,4144.491055875211,9706.721115524702,196.8884780986889
1982,1104,1.2742534128136531,0.7335063672525091,1.0,0.015960204467325864,0.015930419787764546,397.41213768115927,1319.197463768116,45.167458624126574,2.0,50.52083333333334,59.52900360052247,4963.538114107573,4183.34951547476,10777.373234675482,481.1160278320313
1983,2713,1.8153331041116931,0.8254385688798485,1.0,0.03169712816151199,0.021576257422566414,1964.9996314043487,1327.4802801326946,0.19602845176257166,2.0,44.37086092715232,43.41220922917037,2151.4063910066784,4522.702550785789,10063.888917620121,345.0354790107569
1984,3051,2.724206135027941,0.944038221255022,1.0,0.013095236682525057,0.011841000989079477,175.62799082268134,1328.908554572272,45.03726343017662,3.0,32.214765100671144,71.22442281912146,2853.643752830616,2574.606860469505,6784.138520908816,219.0229008623943
1989,4160,1.7818412037278426,0.9111381424252352,1.0,0.012894471499468915,0.011810483410954477,591.4478365384616,1322.0887019230768,62.787200949420516,4.0,47.91666666666666,65.00264186061645,3219.3190174169317,1477.5799187786465,4438.2710864645205,418.9450465082637
1998,1973,1.5196013695445287,0.8766059962704533,1.0,0.011469278028598305,0.01045242976397276,1011.548403446528,1345.6447034972125,76.90492552141245,1.0,10.18867924528302,87.26636640899143,4205.784259175146,345.0602970566861,1283.2837765715842,136.95377261139623
1999,2714,1.9801102712803038,0.9082613013931959,1.0,0.014932234934033575,0.01266498863697052,339.7435519528367,1333.96352247605,59.52900360052247,3.0,10.0,69.5308522368122,3694.4492473356313,3523.722571076489,8646.057554821757,412.9629970599234
2000,2903,3.8810733656805962,0.9863997730367586,1.0,0.011482159160860358,0.011139086447656156,472.363417154668,1342.6314157767824,76.38742051574916,0.0,0.0,78.52925825105184,7508.930959665862,5237.032789364604,13160.667480876235,687.3013238033597
